,Model,Predictor,Length,alpha,Coverage
0,GradientBoostingRegressor:0.05,QR,1.091,0.05,0.432
1,GradientBoostingRegressor:0.05,CQR,2.999,0.05,0.949
2,GradientBoostingRegressor:0.1,QR,0.816,0.1,0.361
3,GradientBoostingRegressor:0.1,CQR,2.585,0.1,0.9
4,GradientBoostingRegressor:0.2,QR,0.588,0.2,0.283
5,GradientBoostingRegressor:0.2,CQR,2.046,0.2,0.8
6,CatBoostingRegressor:0.05,QR,0.697,0.05,0.282
7,CatBoostingRegressor:0.05,CQR,3.032,0.05,0.949
8,CatBoostingRegressor:0.1,QR,0.508,0.1,0.23
9,CatBoostingRegressor:0.1,CQR,2.452,0.1,0.899
10,CatBoostingRegressor:0.2,QR,0.489,0.2,0.224
11,CatBoostingRegressor:0.2,CQR,2.02,0.2,0.8
12,QuantileNet:0.05,QR,2.223,0.05,0.723
13,QuantileNet:0.05,CQR,3.778,0.05,0.951
14,QuantileNet:0.1,QR,1.627,0.1,0.625
15,QuantileNet:0.1,CQR,3.267,0.1,0.902
16,QuantileNet:0.2,QR,0.957,0.2,0.387
17,QuantileNet:0.2,CQR,2.422,0.2,0.8
