,Model,Predictor,Length,alpha,Coverage
0,GradientBoostingRegressor:0.05,QR,1.808,0.05,0.74
1,GradientBoostingRegressor:0.05,CQR,4.034,0.05,0.953
2,GradientBoostingRegressor:0.1,QR,1.028,0.1,0.62
3,GradientBoostingRegressor:0.1,CQR,2.052,0.1,0.91
4,GradientBoostingRegressor:0.2,QR,0.618,0.2,0.49
5,GradientBoostingRegressor:0.2,CQR,1.541,0.2,0.803
6,CatBoostingRegressor:0.05,QR,0.495,0.05,0.397
7,CatBoostingRegressor:0.05,CQR,2.715,0.05,0.955
8,CatBoostingRegressor:0.1,QR,0.482,0.1,0.343
9,CatBoostingRegressor:0.1,CQR,1.9,0.1,0.907
10,CatBoostingRegressor:0.2,QR,0.738,0.2,0.42
11,CatBoostingRegressor:0.2,CQR,1.412,0.2,0.793
12,QuantileNet:0.05,QR,2.273,0.05,0.873
13,QuantileNet:0.05,CQR,3.216,0.05,0.96
14,QuantileNet:0.1,QR,1.75,0.1,0.757
15,QuantileNet:0.1,CQR,2.6,0.1,0.918
16,QuantileNet:0.2,QR,1.066,0.2,0.56
17,QuantileNet:0.2,CQR,2.031,0.2,0.813
