iter	Passed	Remaining
0	212	44062
1	394	40652
2	592	40504
3	782	39891
4	965	39194
5	1152	38798
6	1344	38600
7	1532	38315
8	1721	38068
9	1907	37777
10	2105	37701
11	2292	37451
12	2481	37223
13	2673	37045
14	2868	36911
15	3057	36686
16	3246	36470
17	3440	36312
18	3630	36114
19	3815	35870
20	4004	35656
21	4196	35480
22	4380	35230
23	4574	35071
24	4772	34932
25	4962	34735
26	5148	34513
27	5331	34272
28	5519	34067
29	5706	33860
30	5892	33643
31	6079	33439
32	6086	32278
33	6287	32175
34	6477	32018
35	6665	31847
36	6865	31729
37	7056	31568
38	7233	31343
39	7427	31194
40	7612	31008
41	7809	30864
42	7999	30695
43	8190	30528
44	8376	30340
45	8557	30138
46	8745	29957
47	8935	29785
48	9122	29602
49	9298	29383
50	9477	29176
51	9685	29055
52	9908	28978
53	10100	28805
54	10315	28695
55	10519	28553
56	10739	28449
57	10995	28435
58	11242	28391
59	11440	28219
60	11656	28091
61	11900	28024
62	12120	27897
63	12305	27687
64	12500	27500
65	12694	27312
66	12879	27104
67	13084	26937
68	13274	26741
69	13473	26561
70	13666	26371
71	13851	26164
72	14048	25980
73	14232	25772
74	14427	25585
75	14621	25394
76	14803	25184
77	14992	24987
78	15210	24836
79	15407	24651
80	15590	24443
81	15781	24249
82	16005	24105
83	16196	23908
84	16381	23705
85	16568	23503
86	16749	23295
87	16941	23101
88	17131	22906
89	17329	22720
90	17519	22524
91	17715	22337
92	17914	22152
93	18106	21958
94	18288	21754
95	18472	21551
96	18662	21355
97	18851	21159
98	19034	20957
99	19229	20767
100	19419	20573
101	19603	20372
102	19795	20180
103	19980	19980
104	20165	19781
105	20352	19584
106	20545	19393
107	20733	19197
108	20914	18995
109	21108	18806
110	21295	18609
111	21476	18408
112	21661	18211
113	21841	18010
114	21855	17674
115	22040	17480
116	22224	17285
117	22413	17095
118	22592	16897
119	22783	16707
120	22971	16516
121	23157	16324
122	23341	16130
123	23519	15932
124	23704	15739
125	23888	15546
126	24072	15353
127	24258	15161
128	24450	14973
129	24635	14781
130	24817	14587
131	25004	14396
132	25181	14199
133	25373	14012
134	25551	13816
135	25740	13627
136	25930	13438
137	26116	13247
138	26299	13055
139	26487	12865
140	26678	12677
141	26861	12485
142	27043	12292
143	27232	12103
144	27434	11919
145	27624	11730
146	27815	11542
147	28002	11352
148	28185	11160
149	28371	10970
150	28570	10784
151	28766	10598
152	28953	10408
153	29137	10217
154	29320	10025
155	29499	9833
156	29683	9642
157	29875	9454
158	30075	9268
159	30278	9083
160	30477	8897
161	30688	8714
162	30880	8525
163	31066	8334
164	31252	8144
165	31438	7954
166	31625	7764
167	31802	7572
168	31978	7379
169	32156	7187
170	32333	6996
171	32522	6806
172	32719	6619
173	32908	6430
174	33089	6239
175	33093	6016
176	33099	5797
177	33103	5579
178	33305	5395
179	33508	5212
180	33708	5028
181	33907	4843
182	34102	4658
183	34286	4472
184	34469	4285
185	34659	4099
186	34845	3913
187	35038	3727
188	35111	3529
189	35298	3344
190	35484	3158
191	35687	2973
192	35881	2788
193	36072	2603
194	36264	2417
195	36452	2231
196	36640	2045
197	36823	1859
198	37005	1673
199	37191	1487
200	37380	1301
201	37562	1115
202	37752	929
203	37753	740
204	37939	555
205	38130	370
206	38312	185
207	38502	0
